name,room_numbers,address,price,usable_area,gross_floor_area,url,latitude,longitude
Indi Home,High Floor・FLAT 3・3 Rooms,Tsuen Wan West,9.8M,538ft²,753ft²,https://hk.centanet.com/findproperty/en/detail/Indi-Home_CND281?theme=buy,22.3684317,114.109705
Alassio,High Floor・FLAT A・2 Rooms,Mid-Levels West,40M,"1,014ft²",,https://hk.centanet.com/findproperty/en/detail/Alassio_LJB040?theme=buy,22.2839605,114.1439586
The Pavilia Hill・Tower 3,Middle Floor・FLAT B・2 Rooms,North Point Mid-Levels,22M,735ft²,,https://hk.centanet.com/findproperty/en/detail/The-Pavilia-Hill-Tower-3_DNL992?theme=buy,22.2816223,114.147865
Twin Peaks・Tower 2,Low Floor・FLAT B・1 Room,Tseung Kwan O,5.4M,343ft²,,https://hk.centanet.com/findproperty/en/detail/Twin-Peaks-Tower-2_UEP121?theme=buy,22.3089111,114.2635572
THE PAVILIA BAY・TOWER 1A,High Floor・FLAT B・3 Rooms,Tsuen Wan West,23.5M,826ft²,,https://hk.centanet.com/findproperty/en/detail/THE-PAVILIA-BAY-TOWER-1A_CYN802?theme=buy,22.3684317,114.109705
Tseung Kwan O Plaza・Phase 2・Tower 8,Middle Floor・FLAT G・3 Rooms,Tseung Kwan O,11.28M,737ft²,997ft²,https://hk.centanet.com/findproperty/en/detail/Tseung-Kwan-O-Plaza-Phase-2-Tower-8_SDI024?theme=buy,22.3089111,114.2635572
Tseung Kwan O Plaza・PHASE 2・Tower 7,High Floor・3 Rooms,Tseung Kwan O,11.3M,728ft²,985ft²,https://hk.centanet.com/findproperty/en/detail/Tseung-Kwan-O-Plaza-PHASE-2-Tower-7_SDB523?theme=buy,22.3089111,114.2635572
Luk Yeung Sun Chuen・Block K,High Floor・FLAT 6・2 Rooms,Luk Yeung,6.5M,445ft²,511ft²,https://hk.centanet.com/findproperty/en/detail/Luk-Yeung-Sun-Chuen-Block-K_CLD867?theme=buy,,
KENSINGTON HILL,Low Floor・FLAT C・2 Rooms,Sai Ying Pun,13M,569ft²,,https://hk.centanet.com/findproperty/en/detail/KENSINGTON-HILL_LIT282?theme=buy,22.2875634,114.1417059
Parc City・TOWER 7,Middle Floor・FLAT D・2 Rooms,Tsuen Wan West,11M,524ft²,,https://hk.centanet.com/findproperty/en/detail/Parc-City-TOWER-7_CYU708?theme=buy,22.3684317,114.109705
OCEAN PRIDE・Phase 3A Ocean Supreme・TOWER 5C,Low Floor・FLAT B・2 Rooms,Tsuen Wan West,9.3M,524ft²,,https://hk.centanet.com/findproperty/en/detail/OCEAN-PRIDE-Phase-3A-Ocean-Supreme-TOWER-5C_CYO778?theme=buy,22.3684317,114.109705
THE AURORA・TOWER 1,High Floor・FLAT F・2 Rooms,Tsuen Wan West,8.3M,445ft²,,https://hk.centanet.com/findproperty/en/detail/THE-AURORA-TOWER-1_CYW889?theme=buy,22.3684317,114.109705
THE DYNASTY・TOWER 1,FLAT C・3 Rooms,Tsuen Wan West,15.5M,728ft²,973ft²,https://hk.centanet.com/findproperty/en/detail/THE-DYNASTY-TOWER-1_CRL078?theme=buy,22.3684317,114.109705
Sausalito・Tower 6,3 Rooms,Ma On Shan,9.7M,749ft²,"1,005ft²",https://hk.centanet.com/findproperty/en/detail/Sausalito-Tower-6_EMA630?theme=buy,22.4276756,114.2402751
The Wings・The Wings・Tower 8,Low Floor・FLAT B・2 Rooms,Tseung Kwan O,16.48M,870ft²,"1,123ft²",https://hk.centanet.com/findproperty/en/detail/The-Wings-The-Wings-Tower-8_SZT185?theme=buy,22.3089111,114.2635572
Lohas Park・Phase 4A Wings At Sea・Tower 1A,Middle Floor・FLAT D・2 Rooms,Lohas Park,6.7M,464ft²,,https://hk.centanet.com/findproperty/en/detail/Lohas-Park-Phase-4A-Wings-At-Sea-Tower-1A_UHC992?theme=buy,22.2944817,114.2702546
Metro Town・PHASE 2 LE POINT・Tower 6,High Floor・FLAT F・2 Rooms,Tiu Keng Leng,7.5M,503ft²,674ft²,https://hk.centanet.com/findproperty/en/detail/Metro-Town-PHASE-2-LE-POINT-Tower-6_SDX594?theme=buy,,
THE RIVERPARK・TOWER 5,High Floor・FLAT A・4 Rooms・(2 Suites),Tai Wai,25.8M,"1,170ft²","1,530ft²",https://hk.centanet.com/findproperty/en/detail/THE-RIVERPARK-TOWER-5_ETE470?theme=buy,22.375941,114.178626
The Pavilia Farm・Phase 1・Tower 2 (2B),High Floor・FLAT A・3 Rooms,Tai Wai,13.8M,663ft²,,https://hk.centanet.com/findproperty/en/detail/The-Pavilia-Farm-Phase-1-Tower-2-(2B)_AUS665?theme=buy,22.375941,114.178626
Festival City,4 Rooms,Tai Wai,17M,959ft²,"1,273ft²",https://hk.centanet.com/findproperty/en/detail/Festival-City_EDX973?theme=buy,22.375941,114.178626
Discovery Park・Phase 1・Block 3,High Floor・FLAT G・2 Rooms,Discovery Park,6.65M,495ft²,610ft²,https://hk.centanet.com/findproperty/en/detail/Discovery-Park-Phase-1-Block-3_CLC954?theme=buy,47.6613197,-122.4171413
THE PAVILIA BAY・TOWER 1B,High Floor・FLAT G・1 Room,Tsuen Wan West,8M,389ft²,,https://hk.centanet.com/findproperty/en/detail/THE-PAVILIA-BAY-TOWER-1B_CYN213?theme=buy,22.3684317,114.109705
The Wings・The Wings・Tower 1,Low Floor・FLAT E・3 Rooms,Tseung Kwan O,11M,617ft²,807ft²,https://hk.centanet.com/findproperty/en/detail/The-Wings-The-Wings-Tower-1_SZT120?theme=buy,22.3089111,114.2635572
UPPER RIVERBANK・TOWER 1,FLAT E・3 Rooms,Kai Tak New Area,14.98M,657ft²,,https://hk.centanet.com/findproperty/en/detail/UPPER-RIVERBANK-TOWER-1_UGF146?theme=buy,22.3246084,114.1990482
LAKE SILVER・TOWER 5,High Floor・FLAT B・4 Rooms・(3 Suites),Wu Kai Sha,32M,"1,564ft²","2,097ft²",https://hk.centanet.com/findproperty/en/detail/LAKE-SILVER-TOWER-5_EME683?theme=buy,,
Luk Yeung Sun Chuen・Block N,Low Floor・FLAT 2・2 Rooms,Luk Yeung,7M,451ft²,518ft²,https://hk.centanet.com/findproperty/en/detail/Luk-Yeung-Sun-Chuen-Block-N_CLR613?theme=buy,,
TSUEN WAN CENTRE・BLOCK 17 (TAI YUAN HOUSE),2 Rooms,Tsuen King Circuit,3.45M,329ft²,404ft²,https://hk.centanet.com/findproperty/en/detail/TSUEN-WAN-CENTRE-BLOCK-17-(TAI-YUAN-HOUSE)_CLN269?theme=buy,22.3765822,114.1072333
Luk Yeung Sun Chuen・BLOCK K,High Floor・FLAT 4・3 Rooms,Luk Yeung,7.5M,582ft²,667ft²,https://hk.centanet.com/findproperty/en/detail/Luk-Yeung-Sun-Chuen-BLOCK-K_CLC118?theme=buy,,
THE PAVILIA FARM・Phase 2,Low Floor・3 Rooms,Tai Wai,14.5M,752ft²,,https://hk.centanet.com/findproperty/en/detail/THE-PAVILIA-FARM-Phase-2_AUU239?theme=buy,22.375941,114.178626
Bauhinia Garden・TOWER 4,Low Floor・3 Rooms・(1 Suite),Tseung Kwan O,6.4M,591ft²,,https://hk.centanet.com/findproperty/en/detail/Bauhinia-Garden-TOWER-4_SDP433?theme=buy,22.3089111,114.2635572
Ocean Pride・Phase 3A Ocean Supreme・Tower 5B,High Floor・FLAT A・2 Rooms,Tsuen Wan West,10.5M,530ft²,,https://hk.centanet.com/findproperty/en/detail/Ocean-Pride-Phase-3A-Ocean-Supreme-Tower-5B_CYO097?theme=buy,22.3684317,114.109705
The Sail At Victoria,Middle Floor・FLAT B・4 Rooms,Kennedy Town,26M,"1,059ft²","1,429ft²",https://hk.centanet.com/findproperty/en/detail/The-Sail-At-Victoria_LCT615?theme=buy,22.2822235,114.1292619
Hanley Villa・BLOCK 1,Low Floor・FLAT B,Yau Kom Tau | Ting Kau,5.4M,475ft²,710ft²,https://hk.centanet.com/findproperty/en/detail/Hanley-Villa-BLOCK-1_CCC416?theme=buy,,
The Pavilia Bay・TOWER 2B,High Floor・FLAT E・Studio,Tsuen Wan West,5.7M,306ft²,,https://hk.centanet.com/findproperty/en/detail/The-Pavilia-Bay-TOWER-2B_CYM949?theme=buy,22.3684317,114.109705
The Hudson,Low Floor・FLAT A・3 Rooms,Kennedy Town,12.8M,547ft²,,https://hk.centanet.com/findproperty/en/detail/The-Hudson_LHJ949?theme=buy,22.2822235,114.1292619
THE AURORA・TOWER 3,Middle Floor・FLAT B・Studio,Tsuen Wan West,4.1M,216ft²,,https://hk.centanet.com/findproperty/en/detail/THE-AURORA-TOWER-3_CYX039?theme=buy,22.3684317,114.109705
LOHAS PARK・PHASE 7B GRAND MONTARA・TOWER 1 (1B),High Floor・FLAT E・3 Rooms,Lohas Park,10.5M,716ft²,,https://hk.centanet.com/findproperty/en/detail/LOHAS-PARK-PHASE-7B-GRAND-MONTARA-TOWER-1-(1B)_UHK508?theme=buy,22.2944817,114.2702546
Chelsea Court・Tower South (A2),High Floor・FLAT D・2 Rooms,Tsuen Wan West,7.5M,461ft²,625ft²,https://hk.centanet.com/findproperty/en/detail/Chelsea-Court-Tower-South-(A2)_CRB127?theme=buy,22.3684317,114.109705
LAKE SILVER・TOWER 1,Low Floor・FLAT F・2 Rooms,Wu Kai Sha,7.8M,535ft²,700ft²,https://hk.centanet.com/findproperty/en/detail/LAKE-SILVER-TOWER-1_EMB348?theme=buy,,
THE RIVERPARK・TOWER 1,Middle Floor・FLAT E・2 Rooms,Tai Wai,10M,508ft²,660ft²,https://hk.centanet.com/findproperty/en/detail/THE-RIVERPARK-TOWER-1_ETE852?theme=buy,22.375941,114.178626
Residence Bel-Air・Phase 1・Tower 1,Low Floor・FLAT C・2 Rooms,Residence Bel-air,14.5M,614ft²,776ft²,https://hk.centanet.com/findproperty/en/detail/Residence-Bel-Air-Phase-1-Tower-1_TJG250?theme=buy,22.2545454,114.1326852
RIVIERA GARDENS・HOI NING MANSION (BLOCK 17),FLAT B・3 Rooms,Tsuen Wan Hoi Bun,7.8M,700ft²,829ft²,https://hk.centanet.com/findproperty/en/detail/RIVIERA-GARDENS-HOI-NING-MANSION-(BLOCK-17)_CMB779?theme=buy,22.3699122,114.1144306
Harbour One,Middle Floor・FLAT B・2 Rooms,Shek Tong Tsui,17M,662ft²,895ft²,https://hk.centanet.com/findproperty/en/detail/Harbour-One_LEZ766?theme=buy,22.2863914,114.1338924
Monte Vista・Block 8,High Floor・FLAT C・2 Rooms,Wu Kai Sha,7.78M,521ft²,684ft²,https://hk.centanet.com/findproperty/en/detail/Monte-Vista-Block-8_EGA735?theme=buy,,
Centre Stage・Tower 1,Low Floor・FLAT F・3 Rooms,Sheung Wan,14.8M,628ft²,860ft²,https://hk.centanet.com/findproperty/en/detail/Centre-Stage-Tower-1_LCE746?theme=buy,22.2863943,114.1491375
Oasis Kai Tak・TOWER 3,Low Floor・FLAT C・Studio,Kai Tak New Area,5.8M,274ft²,,https://hk.centanet.com/findproperty/en/detail/Oasis-Kai-Tak-TOWER-3_UGE254?theme=buy,22.3246084,114.1990482
Braemar Hill Mansions・Block 15,Middle Floor・FLAT C・3 Rooms,North Point Mid-Levels,22.5M,"1,090ft²","1,260ft²",https://hk.centanet.com/findproperty/en/detail/Braemar-Hill-Mansions-Block-15_DMM657?theme=buy,22.2816223,114.147865
Centre Stage・Tower 1,High Floor・FLAT D・2 Rooms,Sheung Wan,27M,910ft²,"1,218ft²",https://hk.centanet.com/findproperty/en/detail/Centre-Stage-Tower-1_LCR827?theme=buy,22.2863943,114.1491375
Tsuen Wan Centre・Block 7 (Shanghai House),High Floor・FLAT A・3 Rooms,Tsuen King Circuit,4.6M,422ft²,525ft²,https://hk.centanet.com/findproperty/en/detail/Tsuen-Wan-Centre-Block-7-(Shanghai-House)_CLI703?theme=buy,22.3765822,114.1072333
Primrose Hill・Tower 2,Low Floor・FLAT C・2 Rooms,Tai Wo Hau,8.8M,507ft²,673ft²,https://hk.centanet.com/findproperty/en/detail/Primrose-Hill-Tower-2_CRL254?theme=buy,,
Ocean Shores・Phase 1・Tower 2,Middle Floor・FLAT G・3 Rooms,Tiu Keng Leng,11.5M,784ft²,"1,045ft²",https://hk.centanet.com/findproperty/en/detail/Ocean-Shores-Phase-1-Tower-2_SAU253?theme=buy,,
Luk Yeung Sun Chuen・BLOCK A,High Floor・FLAT 2・2 Rooms,Luk Yeung,6.5M,451ft²,518ft²,https://hk.centanet.com/findproperty/en/detail/Luk-Yeung-Sun-Chuen-BLOCK-A_CME604?theme=buy,,
LUK YEUNG SUN CHUEN・BLOCK S,High Floor・FLAT 8・2 Rooms,Luk Yeung,5.88M,475ft²,555ft²,https://hk.centanet.com/findproperty/en/detail/LUK-YEUNG-SUN-CHUEN-BLOCK-S_CMN793?theme=buy,,
Festival City・Phase 1・Tower 3,Low Floor・FLAT NA・3 Rooms,Tai Wai,11M,677ft²,901ft²,https://hk.centanet.com/findproperty/en/detail/Festival-City-Phase-1-Tower-3_EDY154?theme=buy,22.375941,114.178626
New Haven・TOWER 2,High Floor・FLAT E・2 Rooms,Tsuen Wan Town Centre,8.3M,551ft²,725ft²,https://hk.centanet.com/findproperty/en/detail/New-Haven-TOWER-2_CLO528?theme=buy,22.3699122,114.1144306
Belvedere Garden・PHASE 2・Block 8,Low Floor・FLAT D・3 Rooms,Belvedere,7.6M,668ft²,786ft²,https://hk.centanet.com/findproperty/en/detail/Belvedere-Garden-PHASE-2-Block-8_CAB779?theme=buy,,
The Grandiose・BLOCK 1,Middle Floor・FLAT C・2 Rooms,Tseung Kwan O,9.2M,598ft²,803ft²,https://hk.centanet.com/findproperty/en/detail/The-Grandiose-BLOCK-1_SDJ879?theme=buy,22.3089111,114.2635572
BELVEDERE GARDEN・Phase 2・BLOCK 1,Low Floor・FLAT G・3 Rooms,Belvedere,6.7M,572ft²,668ft²,https://hk.centanet.com/findproperty/en/detail/BELVEDERE-GARDEN-Phase-2-BLOCK-1_CAG493?theme=buy,,
THE PAVILIA BAY・TOWER 2A,Middle Floor・FLAT A・4 Rooms・(1 Suite),Tsuen Wan West,26M,"1,254ft²",,https://hk.centanet.com/findproperty/en/detail/THE-PAVILIA-BAY-TOWER-2A_CYN555?theme=buy,22.3684317,114.109705
THE MERTON・TOWER 1,FLAT G・3 Rooms,Kennedy Town,15M,660ft²,886ft²,https://hk.centanet.com/findproperty/en/detail/THE-MERTON-TOWER-1_LEC298?theme=buy,22.2822235,114.1292619
The Wings・II・Tower 3A,Low Floor・FLAT D・3 Rooms,Tseung Kwan O,11.5M,649ft²,832ft²,https://hk.centanet.com/findproperty/en/detail/The-Wings-II-Tower-3A_UDD006?theme=buy,22.3089111,114.2635572
Luk Yeung Sun Chuen・Block K,Low Floor・FLAT 3・2 Rooms,Luk Yeung,5.5M,451ft²,518ft²,https://hk.centanet.com/findproperty/en/detail/Luk-Yeung-Sun-Chuen-Block-K_CLV262?theme=buy,,
THE WINGS・IIIA・TOWER 3A,High Floor・FLAT C・1 Room,Tseung Kwan O,6.5M,362ft²,,https://hk.centanet.com/findproperty/en/detail/THE-WINGS-IIIA-TOWER-3A_UEH956?theme=buy,22.3089111,114.2635572
The Pavilia Farm・Phase 2・Tower 5 (5A),Low Floor・FLAT D・2 Rooms,Tai Wai,12.8M,568ft²,,https://hk.centanet.com/findproperty/en/detail/The-Pavilia-Farm-Phase-2-Tower-5-(5A)_AUU054?theme=buy,22.375941,114.178626
Waterside Plaza・Block 2,Low Floor・FLAT F・2 Rooms,Tsuen Wan West,6M,470ft²,600ft²,https://hk.centanet.com/findproperty/en/detail/Waterside-Plaza-Block-2_CLP044?theme=buy,22.3684317,114.109705
Lohas Park・Phase 3A Hemera・Topaz (Tower 5),Low Floor・FLAT RB・4 Rooms,Lohas Park,14.5M,"1,133ft²",,https://hk.centanet.com/findproperty/en/detail/Lohas-Park-Phase-3A-Hemera-Topaz-(Tower-5)_UEO012?theme=buy,22.2944817,114.2702546
Double Cove・Phase 4 Double Cove Grandview・Block 7,Low Floor・FLAT A・4 Rooms,Wu Kai Sha,25M,"1,453ft²",,https://hk.centanet.com/findproperty/en/detail/Double-Cove-Phase-4-Double-Cove-Grandview-Block-7_EMX782?theme=buy,,
Summit Terrace・Block 5,Low Floor・FLAT E・3 Rooms,Tsuen King Circuit,8.5M,629ft²,859ft²,https://hk.centanet.com/findproperty/en/detail/Summit-Terrace-Block-5_CME670?theme=buy,22.3765822,114.1072333
KENSINGTON HILL,High Floor・4 Rooms・(2 Suites),Sai Ying Pun,115.85M,"2,276ft²",,https://hk.centanet.com/findproperty/en/detail/KENSINGTON-HILL_LIT300?theme=buy,22.2875634,114.1417059
Fortress Garden・Fullview Court,Middle Floor・FLAT A・3 Rooms,North Point Mid-Levels,13.38M,798ft²,956ft²,https://hk.centanet.com/findproperty/en/detail/Fortress-Garden-Fullview-Court_DME981?theme=buy,22.2816223,114.147865
Victoria Centre・Block 2,High Floor・FLAT A・3 Rooms,Tin Hau,18M,"1,004ft²","1,176ft²",https://hk.centanet.com/findproperty/en/detail/Victoria-Centre-Block-2_DLG380?theme=buy,22.2823972,114.1922382
Chelsea Court・Tower East (A1),Middle Floor・FLAT G・1 Room,Tsuen Wan West,6.5M,475ft²,650ft²,https://hk.centanet.com/findproperty/en/detail/Chelsea-Court-Tower-East-(A1)_CNF135?theme=buy,22.3684317,114.109705
The Merton・Tower 1,High Floor・3 Rooms,Kennedy Town,15.9M,663ft²,,https://hk.centanet.com/findproperty/en/detail/The-Merton-Tower-1_LEB040?theme=buy,22.2822235,114.1292619
LOHAS PARK・PHASE 10 LP10・TOWER 1 (1A),Middle Floor・FLAT A・4 Rooms,Lohas Park,24.5M,"1,203ft²",,https://hk.centanet.com/findproperty/en/detail/LOHAS-PARK-PHASE-10-LP10-TOWER-1-(1A)_UHP469?theme=buy,22.2944817,114.2702546
The Dynasty・Tower 1,Middle Floor・FLAT C・3 Rooms,Tsuen Wan West,15.8M,728ft²,973ft²,https://hk.centanet.com/findproperty/en/detail/The-Dynasty-Tower-1_CRK945?theme=buy,22.3684317,114.109705
Monterey,VILLA 6・3 Rooms,Tseung Kwan O,80M,"2,048ft²",,https://hk.centanet.com/findproperty/en/detail/Monterey_UHA878?theme=buy,22.3089111,114.2635572
Braemar Hill Mansions・BLOCK 2,High Floor・FLAT A・3 Rooms・(1 Suite),North Point Mid-Levels,36.8M,"1,297ft²","1,490ft²",https://hk.centanet.com/findproperty/en/detail/Braemar-Hill-Mansions-BLOCK-2_DLY379?theme=buy,22.2816223,114.147865
SHEUNG CHUI COURT・BLOCK C (CHUI TING HOUSE),High Floor・FLAT 8・2 Rooms,Tsuen Wan Town Centre,5.3M,441ft²,,https://hk.centanet.com/findproperty/en/detail/SHEUNG-CHUI-COURT-BLOCK-C-(CHUI-TING-HOUSE)_CYV662?theme=buy,22.3699122,114.1144306
Bayview Garden・BLOCK 5,Low Floor・FLAT C・3 Rooms・(1 Suite),Belvedere,9.3M,760ft²,928ft²,https://hk.centanet.com/findproperty/en/detail/Bayview-Garden-BLOCK-5_CAN953?theme=buy,,
The Papillons,High Floor・FLAT F・6 Rooms,Tseung Kwan O,60M,"2,277ft²",,https://hk.centanet.com/findproperty/en/detail/The-Papillons_UEY911?theme=buy,22.3089111,114.2635572
Tseung Kwan O Plaza・PHASE 2・Tower 7,High Floor・FLAT D・2 Rooms,Tseung Kwan O,6.8M,459ft²,625ft²,https://hk.centanet.com/findproperty/en/detail/Tseung-Kwan-O-Plaza-PHASE-2-Tower-7_SDH800?theme=buy,22.3089111,114.2635572
The Belcher's・PHASE 2・Tower 6,Middle Floor・FLAT A・3 Rooms,Mid-Levels West,22M,905ft²,"1,164ft²",https://hk.centanet.com/findproperty/en/detail/The-Belcher's-PHASE-2-Tower-6_LIP309?theme=buy,22.2839605,114.1439586
The Grand Panorama・Block 5,Middle Floor・FLAT B・3 Rooms,Mid-Levels West,30M,"1,290ft²","1,603ft²",https://hk.centanet.com/findproperty/en/detail/The-Grand-Panorama-Block-5_LAM365?theme=buy,22.2839605,114.1439586
City Point・Block 8,Middle Floor・FLAT D・2 Rooms,Tsuen Wan West,7.6M,482ft²,,https://hk.centanet.com/findproperty/en/detail/City-Point-Block-8_CYE471?theme=buy,22.3684317,114.109705
Two．Artlane,Low Floor・FLAT B・1 Room,Sai Ying Pun,6.5M,254ft²,,https://hk.centanet.com/findproperty/en/detail/Two-Artlane_LHQ790?theme=buy,22.2875634,114.1417059
Festival City・Phase 2・Tower 2,Low Floor・FLAT NC・3 Rooms,Tai Wai,13.5M,784ft²,"1,030ft²",https://hk.centanet.com/findproperty/en/detail/Festival-City-Phase-2-Tower-2_ASE908?theme=buy,22.375941,114.178626
The Horizon,Middle Floor・1 Room,Pak Shek Kok,6.7M,468ft²,,https://hk.centanet.com/findproperty/en/detail/The-Horizon_AUI286?theme=buy,22.4280945,114.2082325
Altissimo・Tower 3,Low Floor・FLAT H・2 Rooms,Wu Kai Sha,7M,483ft²,,https://hk.centanet.com/findproperty/en/detail/Altissimo-Tower-3_EQA815?theme=buy,,
PEAK ONE・PHASE 1・BLOCK 5,Low Floor・FLAT D・3 Rooms,Sha Tin,15.5M,"1,015ft²","1,352ft²",https://hk.centanet.com/findproperty/en/detail/PEAK-ONE-PHASE-1-BLOCK-5_ASC702?theme=buy,22.3771304,114.1974398
Peak One・Phase 1・Block 6,Low Floor・FLAT A・3 Rooms,Sha Tin,23M,"1,084ft²","1,452ft²",https://hk.centanet.com/findproperty/en/detail/Peak-One-Phase-1-Block-6_ASC767?theme=buy,22.3771304,114.1974398
Lake Silver・Tower 6,Low Floor・FLAT C・4 Rooms,Wu Kai Sha,15M,"1,012ft²","1,319ft²",https://hk.centanet.com/findproperty/en/detail/Lake-Silver-Tower-6_EMC381?theme=buy,,
FESTIVAL CITY・Phase 2・TOWER 3,Middle Floor・FLAT ND・3 Rooms,Tai Wai,11.8M,678ft²,902ft²,https://hk.centanet.com/findproperty/en/detail/FESTIVAL-CITY-Phase-2-TOWER-3_ASE363?theme=buy,22.375941,114.178626
Festival City・Phase 3・Tower 2,Middle Floor・FLAT ND・3 Rooms,Tai Wai,14M,757ft²,"1,000ft²",https://hk.centanet.com/findproperty/en/detail/Festival-City-Phase-3-Tower-2_ASH576?theme=buy,22.375941,114.178626
Centra Horizon・Tower 5,Low Floor・FLAT F・1 Room,Pak Shek Kok,7.58M,435ft²,,https://hk.centanet.com/findproperty/en/detail/Centra-Horizon-Tower-5_AUL443?theme=buy,22.4280945,114.2082325
Vista Paradiso・Phase 1・Tower 11,High Floor・FLAT A・3 Rooms,Ma On Shan,12.8M,815ft²,"1,008ft²",https://hk.centanet.com/findproperty/en/detail/Vista-Paradiso-Phase-1-Tower-11_EEX513?theme=buy,22.4276756,114.2402751
Festival City・Phase 2・Tower 5,High Floor・FLAT SB・4 Rooms,Tai Wai,17.38M,958ft²,"1,273ft²",https://hk.centanet.com/findproperty/en/detail/Festival-City-Phase-2-Tower-5_ASF204?theme=buy,22.375941,114.178626
Altissimo・Tower 3,Middle Floor・FLAT A・3 Rooms,Wu Kai Sha,15.5M,829ft²,,https://hk.centanet.com/findproperty/en/detail/Altissimo-Tower-3_EQA720?theme=buy,,
Julimount Garden・Block 6,High Floor・FLAT B・4 Rooms,Tai Wai,18.8M,"1,521ft²","1,872ft²",https://hk.centanet.com/findproperty/en/detail/Julimount-Garden-Block-6_AIB146?theme=buy,22.375941,114.178626
Sunshine City・Phase 5 The Tolo Place・Block 3,Low Floor・FLAT E・2 Rooms,Ma On Shan,5.85M,465ft²,586ft²,https://hk.centanet.com/findproperty/en/detail/Sunshine-City-Phase-5-The-Tolo-Place-Block-3_EEN388?theme=buy,22.4276756,114.2402751
Double Cove・Phase 2 Double Cove Starview・Block 21,High Floor・FLAT E・2 Rooms,Wu Kai Sha,7.65M,498ft²,,https://hk.centanet.com/findproperty/en/detail/Double-Cove-Phase-2-Double-Cove-Starview-Block-21_EMO963?theme=buy,,
Lohas Park・Phase 5A Malibu・Tower 1A,Middle Floor・FLAT B・3 Rooms,Lohas Park,15.8M,848ft²,,https://hk.centanet.com/findproperty/en/detail/Lohas-Park-Phase-5A-Malibu-Tower-1A_UHF058?theme=buy,22.2944817,114.2702546
PROVIDENCE BAY・PHASE 1・TOWER 3,Low Floor・4 Rooms,Pak Shek Kok,29.8M,"1,692ft²","2,183ft²",https://hk.centanet.com/findproperty/en/detail/PROVIDENCE-BAY-PHASE-1-TOWER-3_ASG331?theme=buy,22.4280945,114.2082325
The Beverly Hills,4 Rooms,Tai Po Luxury/Mid-levels,15.8M,"1,606ft²","2,700ft²",https://hk.centanet.com/findproperty/en/detail/The-Beverly-Hills_ASA325?theme=buy,22.2816223,114.147865
Sunshine City・Phase 3・Block N,High Floor・FLAT 4・3 Rooms,Ma On Shan,7.29M,503ft²,671ft²,https://hk.centanet.com/findproperty/en/detail/Sunshine-City-Phase-3-Block-N_EEL563?theme=buy,22.4276756,114.2402751
FESTIVAL CITY・PHASE 1・TOWER 5,Middle Floor・FLAT ND・3 Rooms,Tai Wai,13.5M,741ft²,982ft²,https://hk.centanet.com/findproperty/en/detail/FESTIVAL-CITY-PHASE-1-TOWER-5_EDX577?theme=buy,22.375941,114.178626
PEAK ONE・PHASE 1・BLOCK 8,4 Rooms,Sha Tin,22M,"1,121ft²","1,553ft²",https://hk.centanet.com/findproperty/en/detail/PEAK-ONE-PHASE-1-BLOCK-8_ASC922?theme=buy,22.3771304,114.1974398
Villa Athena・Block 10,High Floor・FLAT D・3 Rooms,Ma On Shan,10M,727ft²,901ft²,https://hk.centanet.com/findproperty/en/detail/Villa-Athena-Block-10_EEW118?theme=buy,22.4276756,114.2402751
Le Cap,Low Floor・4 Rooms,Kau To Shan,55.35M,"2,214ft²",,https://hk.centanet.com/findproperty/en/detail/Le-Cap_AUB568?theme=buy,22.4166667,114.1833333
THE PALAZZO・BLOCK 9,Middle Floor・FLAT A・4 Rooms,Fo Tan,31M,"1,845ft²","2,379ft²",https://hk.centanet.com/findproperty/en/detail/THE-PALAZZO-BLOCK-9_ASC056?theme=buy,22.3985709,114.1929428
LAKE SILVER・TOWER 7,Middle Floor・FLAT C・3 Rooms・(1 Suite),Wu Kai Sha,12M,762ft²,999ft²,https://hk.centanet.com/findproperty/en/detail/LAKE-SILVER-TOWER-7_EMC654?theme=buy,,
Altissimo・Tower 1,High Floor・FLAT G・1 Room,Wu Kai Sha,6.2M,315ft²,,https://hk.centanet.com/findproperty/en/detail/Altissimo-Tower-1_EQA593?theme=buy,,
La Vetta,4 Rooms,Kau To Shan,48.8M,"1,976ft²",,https://hk.centanet.com/findproperty/en/detail/La-Vetta_AUH705?theme=buy,22.4166667,114.1833333
Ontolo,High Floor・3 Rooms,Pak Shek Kok,19.4M,"1,131ft²",,https://hk.centanet.com/findproperty/en/detail/Ontolo_AUO183?theme=buy,22.4280945,114.2082325
Seanorama・TOWER 3B,High Floor・FLAT E・3 Rooms・(1 Suite),Wu Kai Sha,17M,769ft²,,https://hk.centanet.com/findproperty/en/detail/Seanorama-TOWER-3B_EMY595?theme=buy,,
Double Cove・PHASE 2 DOUBLE COVE STARVIEW・Block 19,Middle Floor・FLAT F・1 Room,Wu Kai Sha,7.65M,523ft²,,https://hk.centanet.com/findproperty/en/detail/Double-Cove-PHASE-2-DOUBLE-COVE-STARVIEW-Block-19_EMP609?theme=buy,,
Peak One・Phase 1・Block 7,4 Rooms,Sha Tin,28M,"1,380ft²","1,846ft²",https://hk.centanet.com/findproperty/en/detail/Peak-One-Phase-1-Block-7_ASC855?theme=buy,22.3771304,114.1974398
Solaria,Low Floor・FLAT B・3 Rooms,Pak Shek Kok,10.5M,833ft²,,https://hk.centanet.com/findproperty/en/detail/Solaria_AUC382?theme=buy,22.4280945,114.2082325
